% Model:              hexGeModeAnalysisv2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 16 2024, 16:32
% Table:              Table 85 - data_to_export
% omega (GHz)                                     Out-of-plane wave number (rad/m)                  N^2 (m^2)                                         wxy (1)                                           wxz (1)                                           wyz (1)                                           mode (m^2)
49.95                                             1.1556385570602943E8+3.7337844046036254E-7i       2.8949695511258846                                -1.3500944086564732E8-188371.13404761456i         0.006487708325160601-4.646482469278223i           0.0149201309013764-10.698591651573757i            6
49.95                                             -1.1556385570602943E8+3.7337844046036254E-7i      2.8949695511258846                                -1.3500944086564732E8+188371.13404761456i         0.006487708325160601+4.646482469278223i           0.0149201309013764+10.698591651573757i            6
49.95                                             1.2667570071326363E8+4.973526668489773E-7i        2.9800728590006718                                -6.060869770567244-0.012739400344636206i          -264818.2474626456+1.2589188763950743E8i          0.006181625681639016-2.9410003640039744i          7
49.95                                             -1.2667570071326363E8+4.973526668489773E-7i       2.9800728590006718                                -6.060869770567244+0.012739400344636206i          -264818.2474626456-1.2589188763950743E8i          0.006181625681639016+2.9410003640039744i          7
49.95                                             1.3555331816093794E8+4.298673338951721E-7i        2.9742552195241503                                -17.37423924710518+0.007838973628428031i          -4.4182503660773E-4-0.9976990369027623i           57560.276301232414+1.2742918042302965E8i          8
49.95                                             -1.3555331816093794E8+4.298673338951721E-7i       2.9742552195241503                                -17.37423924710518-0.007838973628428031i          -4.4182503660773E-4+0.9976990369027623i           57560.276301232414-1.2742918042302965E8i          8
50                                                2.1494598019025717E7-3.6384644755774025E-8i       2.9741100973275234                                0.008504275398269938+2.9184138207895185E-4i       0.09905873143274908-2.886617635116274i            3556068.805122184-1.0362550728687866E8i           3
50                                                -2.1494598019025717E7-3.6384644755774025E-8i      2.9741100973275234                                0.008504275398269938-2.9184138207895185E-4i       0.09905873143274908+2.886617635116274i            3556068.805122184+1.0362550728687866E8i           0
50                                                6.452520579161724E7-5.205173974649502E-7i         3.01038672069954                                  1.0818169960801863E-6-6.587861788866857E-4i       -0.2254668120571785-3.34628941542203E-4i          0.026333840709473724+3.885860798488975E-5i        4
50                                                -6.452520579161724E7-5.205173974649502E-7i        3.01038672069954                                  1.0818169960801863E-6+6.587861788866857E-4i       -0.2254668120571785+3.34628941542203E-4i          0.026333840709473724-3.885860798488975E-5i        4
50                                                1.1567947083013648E8+9.611122597315496E-7i        2.894940957218773                                 -1.3500009192622802E8-180387.26398203312i         0.006234569667341397-4.6670864844927i             0.014353212720029946-10.744099313963325i          6
50                                                -1.1567947083013648E8+9.611122597315496E-7i       2.894940957218773                                 -1.3500009192622802E8+180387.26398203312i         0.006234569667341397+4.6670864844927i             0.014353212720029946+10.744099313963325i          6
50                                                1.2677689684117359E8+1.0777232209366026E-7i       2.980055846562754                                 -6.079070906042049-0.012779774365015654i          -264824.4082972496+1.2595676100674732E8i          0.00620303546654901-2.9496304106235938i           7
50                                                -1.2677689684117359E8+1.0777232209366026E-7i      2.980055846562754                                 -6.079070906042049+0.012779774365015654i          -264824.4082972496-1.2595676100674732E8i          0.00620303546654901+2.9496304106235938i           7
50                                                1.3566622497400957E8+7.44608187462192E-7i         2.974235693074681                                 -17.412553118044354+0.007847806639639666i         -4.4147750739846056E-4-0.9989534201632937i        57469.60595763098+1.2750391244943964E8i           8
50                                                -1.3566622497400957E8+7.44608187462192E-7i        2.974235693074681                                 -17.412553118044354-0.007847806639639666i         -4.4147750739846056E-4+0.9989534201632937i        57469.60595763098-1.2750391244943964E8i           8
50.050000000000004                                2.165887761312682E7-9.384274175633305E-9i         2.9741666202316774                                0.006942869298830922+2.3684833818909384E-4i       0.09854055716675274-2.8885403539735095i           3532971.351673715-1.0356284639387271E8i           3
50.050000000000004                                -2.165887761312682E7-9.384274175633305E-9i        2.9741666202316774                                0.006942869298830922-2.3684833818909384E-4i       0.09854055716675274+2.8885403539735095i           3532971.351673715+1.0356284639387271E8i           0
50.050000000000004                                6.459346436225109E7+1.0071790165851907E-7i        3.0104111030402736                                2.0474025120698095E-7-5.79884663124527E-4i        -0.2265876229950365-3.3712021336170265E-4i        0.026498148848219945+3.956991561708161E-5i        4
50.050000000000004                                -6.459346436225109E7+1.0071790165851907E-7i       3.0104111030402736                                2.0474025120698095E-7+5.79884663124527E-4i        -0.2265876229950365+3.3712021336170265E-4i        0.026498148848219945-3.956991561708161E-5i        4
50.050000000000004                                1.1579508821365197E8+4.336651919437755E-6i        2.8949123435955912                                -1.3499072828876925E8-172396.292928604i           0.00595719496926995-4.687761483694046i            0.013798262495328891-10.789748198997712i          6
50.050000000000004                                -1.1579508821365197E8+4.336651919437755E-6i       2.8949123435955912                                -1.3499072828876925E8+172396.292928604i           0.00595719496926995+4.687761483694046i            0.013798262495328891+10.789748198997712i          6
50.050000000000004                                1.2687809359453754E8+3.3822593085267677E-7i       2.980038822665413                                 -6.097342551470804-0.012808582066521863i          -264830.331962893+1.2602161654074721E8i           0.00621488890085649-2.9583005798991926i           7
50.050000000000004                                -1.2687809359453754E8+3.3822593085267677E-7i      2.980038822665413                                 -6.097342551470804+0.012808582066521863i          -264830.331962893-1.2602161654074721E8i           0.00621488890085649+2.9583005798991926i           7
50.050000000000004                                1.3577913303432128E8-3.6949013354488175E-7i       2.97421616416228                                  -17.45092042257074+0.00784928946832743i           -4.546382194998783E-4-1.0002053698857343i         57378.86450263241+1.2757864106026109E8i           8
50.050000000000004                                -1.3577913303432128E8-3.6949013354488175E-7i      2.97421616416228                                  -17.45092042257074-0.00784928946832743i           -4.546382194998783E-4+1.0002053698857343i         57378.86450263241-1.2757864106026109E8i           8
50.1                                              2.182222214442373E7+1.2808245902587664E-8i        2.9742230051281826                                0.005349115176929366+1.8142062716713838E-4i       0.09803462289914402-2.890465927520417i            3510370.795805479-1.0350021194363281E8i           3
50.1                                              -2.182222214442373E7+1.2808245902587664E-8i       2.9742230051281826                                0.005349115176929366-1.8142062716713838E-4i       0.09803462289914402+2.890465927520417i            3510370.795805479+1.0350021194363281E8i           0
50.1                                              6.466174266906485E7-2.582461468926364E-7i         3.010435513655138                                 -9.967718660722108E-7-4.799379782133181E-4i       -0.2277199800373051-3.4007834840357927E-4i        0.026669189817991212+4.0117784825789876E-5i       4
50.1                                              -6.466174266906485E7-2.582461468926364E-7i        3.010435513655138                                 -9.967718660722108E-7+4.799379782133181E-4i       -0.2277199800373051+3.4007834840357927E-4i        0.026669189817991212-4.0117784825789876E-5i       4
50.1                                              1.159107078643578E8-7.175627998808428E-6i         2.894883710307711                                 -1.3498134993519157E8-164398.2686505419i          0.005774061533542498-4.708506220673307i           0.013171829926200107-10.83553340772791i           6
50.1                                              -1.159107078643578E8-7.175627998808428E-6i        2.894883710307711                                 -1.3498134993519157E8+164398.2686505419i          0.005774061533542498+4.708506220673307i           0.013171829926200107+10.83553340772791i           6
50.1                                              1.269792909867025E8-1.1196085800367532E-6i        2.980021787283023                                 -6.115630211683712-0.012870847774694482i          -264836.01883433067+1.2608645425470595E8i         0.006245856842607759-2.966966786120405i           7
50.1                                              -1.269792909867025E8-1.1196085800367532E-6i       2.980021787283023                                 -6.115630211683712+0.012870847774694482i          -264836.01883433067-1.2608645425470595E8i         0.006245856842607759+2.966966786120405i           7
50.1                                              1.3589204234601086E8-2.1993036867621635E-6i       2.9741966327778298                                -17.489329531914635+0.007863890695550432i         -4.7333590734958904E-4-1.001440940876821i         57288.05217233319+1.2765336626653075E8i           8
50.1                                              -1.3589204234601086E8-2.1993036867621635E-6i      2.9741966327778298                                -17.489329531914635-0.007863890695550432i         -4.7333590734958904E-4+1.001440940876821i         57288.05217233319-1.2765336626653075E8i           8
50.150000000000006                                2.198465281157844E7                               2.974279251484529                                 0.0037250643923404415+1.255524926565073E-4i       0.09754091039745498-2.892394852088043i            3488249.7750265626-1.0343760305706081E8i          3
50.150000000000006                                -2.198465281157844E7                              2.974279251484529                                 0.0037250643923404415-1.255524926565073E-4i       0.09754091039745498+2.892394852088043i            3488249.7750265626+1.0343760305706081E8i          0
50.150000000000006                                6.473004080499789E7+2.553580669596568E-7i         3.010459952398111                                 2.557395050637465E-6-4.3792133344837956E-4i       -0.22883599497166499-3.410622573802024E-4i        0.026819778136075202+3.929711997892271E-5i        4
50.150000000000006                                -6.473004080499789E7+2.553580669596568E-7i        3.010459952398111                                 2.557395050637465E-6+4.3792133344837956E-4i       -0.22883599497166499+3.410622573802024E-4i        0.026819778136075202-3.929711997892271E-5i        4
50.150000000000006                                1.160263297900167E8-4.417679861421482E-6i         2.8948550574066174                                -1.3497195684745744E8-156393.22997299727i         0.005518057656597052-4.729342063517579i           0.012600784720772938-10.881455216836232i          6
50.150000000000006                                -1.160263297900167E8-4.417679861421482E-6i        2.8948550574066174                                -1.3497195684745744E8+156393.22997299727i         0.005518057656597052+4.729342063517579i           0.012600784720772938+10.881455216836232i          6
50.150000000000006                                1.2708048903095421E8+1.7909815447110673E-6i       2.9800047403900196                                -6.134017845033835-0.01284228318903348i           -264841.46917988465+1.2615127416167854E8i         0.006220924428833708-2.975695283333173i           7
50.150000000000006                                -1.2708048903095421E8+1.7909815447110673E-6i      2.9800047403900196                                -6.134017845033835+0.01284228318903348i           -264841.46917988465-1.2615127416167854E8i         0.006220924428833708+2.975695283333173i           7
50.150000000000006                                1.360049529131867E8+5.196112111050743E-6i         2.97417709891218                                  -17.52780348562847+0.007796084796130611i          -3.923391754582362E-4-1.0026885336033349i         57197.16912763541+1.277280880791904E8i            8
50.150000000000006                                -1.360049529131867E8+5.196112111050743E-6i        2.97417709891218                                  -17.52780348562847-0.007796084796130611i          -3.923391754582362E-4+1.0026885336033349i         57197.16912763541-1.277280880791904E8i            8
50.2                                              2.2146190080562513E7+1.6754131118372786E-8i       2.974335358746352                                 0.002066835625872871+6.934278460132213E-5i        0.09705867891765696-2.894325305817894i            3466591.754689116-1.0337501880176812E8i           3
50.2                                              -2.2146190080562513E7+1.6754131118372786E-8i      2.974335358746352                                 0.002066835625872871-6.934278460132213E-5i        0.09705867891765696+2.894325305817894i            3466591.754689116+1.0337501880176812E8i           0
50.2                                              6.479835886357538E7+5.368996085245529E-8i         3.0104844191208193                                1.4549400366432785E-6-3.4187241039342856E-4i      -0.22997653687128028-3.441830554707687E-4i        0.026991602524631814+3.974132414452803E-5i        4
50.2                                              -6.479835886357538E7+5.368996085245529E-8i        3.0104844191208193                                1.4549400366432785E-6+3.4187241039342856E-4i      -0.22997653687128028+3.441830554707687E-4i        0.026991602524631814-3.974132414452803E-5i        4
50.2                                              1.1614195399839854E8-1.152098170404461E-6i        2.8948263849439018                                -1.3496254900755084E8-148381.21800841033i         0.005236772525974798-4.750211600851613i           0.012005587063444413-10.92753053664423i           6
50.2                                              -1.1614195399839854E8-1.152098170404461E-6i       2.8948263849439018                                -1.3496254900755084E8+148381.21800841033i         0.005236772525974798+4.750211600851613i           0.012005587063444413+10.92753053664423i           6
50.2                                              1.271816877405364E8+2.4102588551867937E-8i        2.979987681960858                                 -6.152408378596857-0.012916027752350071i          -264846.6834444954+1.2621607627459472E8i          0.006259705903445093-2.9844076101816137i          7
50.2                                              -1.271816877405364E8+2.4102588551867937E-8i       2.979987681960858                                 -6.152408378596857+0.012916027752350071i          -264846.6834444954-1.2621607627459472E8i          0.006259705903445093+2.9844076101816137i          7
50.2                                              1.3611786473991972E8+5.17316607293716E-6i         2.9741575625562806                                -17.56632600864268+0.007802933352550355i          -3.7710241664285984E-4-1.003920396846139i         57106.215788800524+1.2780280650907388E8i          8
50.2                                              -1.3611786473991972E8+5.17316607293716E-6i        2.9741575625562806                                -17.56632600864268-0.007802933352550355i          -3.7710241664285984E-4+1.003920396846139i         57106.215788800524-1.2780280650907388E8i          8
50.25                                             2.2306853719665796E7+3.729573323590132E-8i        2.9743913263373782                                3.7841928775718387E-4+1.2623656429335599E-5i      0.0965876120688714-2.8962580245176253i            3445380.977845761-1.0331245819509177E8i           3
50.25                                             -2.2306853719665796E7+3.729573323590132E-8i       2.9743913263373782                                3.7841928775718387E-4-1.2623656429335599E-5i      0.0965876120688714+2.8962580245176253i            3445380.977845761+1.0331245819509177E8i           0
50.25                                             6.486669693890531E7+3.210170170214655E-7i         3.010508913672531                                 2.506236940906744E-6-2.3620364758136363E-4i       -0.23112477153890118-3.4585932679230574E-4i       0.027169313550181918+4.015295333703807E-5i        4
50.25                                             -6.486669693890531E7+3.210170170214655E-7i        3.010508913672531                                 2.506236940906744E-6+2.3620364758136363E-4i       -0.23112477153890118+3.4585932679230574E-4i       0.027169313550181918-4.015295333703807E-5i        4
50.25                                             1.1625758049722281E8+6.0242815567020705E-6i       2.894797692971216                                 -1.349531263974824E8-140362.28075167676i          0.004916994288992148-4.771194984755389i           0.011432916897648766-10.973724088753466i          6
50.25                                             -1.1625758049722281E8+6.0242815567020705E-6i      2.894797692971216                                 -1.349531263974824E8+140362.28075167676i          0.004916994288992148+4.771194984755389i           0.011432916897648766+10.973724088753466i          6
50.25                                             1.2728288712863134E8+1.949986156884162E-6i        2.9799706119700518                                -6.170932565596642-0.012906850021178242i          -264851.661850189+1.2628086060624102E8i           0.006245055352172073-2.993211589159832i           7
50.25                                             -1.2728288712863134E8+1.949986156884162E-6i       2.9799706119700518                                -6.170932565596642+0.012906850021178242i          -264851.661850189-1.2628086060624102E8i           0.006245055352172073+2.993211589159832i           7
50.25                                             1.3623077783024746E8+1.0646962592218327E-7i       2.974138023701101                                 -17.604926048244746+0.007848744998618177i         -4.5443114619727785E-4-1.0051476203919636i        57015.192444956585+1.2787752156692356E8i          8
50.25                                             -1.3623077783024746E8+1.0646962592218327E-7i      2.974138023701101                                 -17.604926048244746-0.007848744998618177i         -4.5443114619727785E-4+1.0051476203919636i        57015.192444956585-1.2787752156692356E8i          8
50.300000000000004                                2.246666283240147E7+5.012932098553751E-8i         2.9744471536589856                                -0.001341557122856676-4.449358080740134E-5i       0.09612738066171254-2.8981922878001125i           3424602.4188136724-1.0324992020683303E8i          3
50.300000000000004                                -2.246666283240147E7+5.012932098553751E-8i        2.9744471536589856                                -0.001341557122856676+4.449358080740134E-5i       0.09612738066171254+2.8981922878001125i           3424602.4188136724+1.0324992020683303E8i          0
50.300000000000004                                6.493505512568471E7+3.9017960090160987E-7i        3.0105334359000846                                9.151775837925934E-8-1.4732578096458918E-4i       -0.23227233317353702-3.493730089164312E-4i        0.027338759564926807+4.127573054668717E-5i        4
50.300000000000004                                -6.493505512568471E7+3.9017960090160987E-7i       3.0105334359000846                                9.151775837925934E-8+1.4732578096458918E-4i       -0.23227233317353702+3.493730089164312E-4i        0.027338759564926807-4.127573054668717E-5i        4
50.300000000000004                                1.1637320929423876E8+1.29000469863382E-6i         2.894768981540364                                 -1.349436889992905E8-132336.46694042676i          0.004686089472549184-4.792227860426291i           0.01081657961003342-11.020078813442732i           6
50.300000000000004                                -1.1637320929423876E8+1.29000469863382E-6i        2.894768981540364                                 -1.349436889992905E8+132336.46694042676i          0.004686089472549184+4.792227860426291i           0.01081657961003342+11.020078813442732i           6
50.300000000000004                                1.273840872083811E8-2.031066662386914E-7i         2.979953530392141                                 -6.189419075972876-0.012973649306340675i          -264856.4048499977+1.2634562716926613E8i          0.0062890559261619995-3.0019659015485862i         7
50.300000000000004                                -1.273840872083811E8-2.031066662386914E-7i        2.979953530392141                                 -6.189419075972876+0.012973649306340675i          -264856.4048499977-1.2634562716926613E8i          0.0062890559261619995+3.0019659015485862i         7
50.300000000000004                                1.3634369218817726E8-2.479177770948661E-7i        2.974118482337644                                 -17.64358260082084+0.00785258939346555i           -4.627515770890602E-4-1.006395841592773i          56924.09918409092+1.2795223326338118E8i           8
50.300000000000004                                -1.3634369218817726E8-2.479177770948661E-7i       2.974118482337644                                 -17.64358260082084-0.00785258939346555i           -4.627515770890602E-4+1.006395841592773i          56924.09918409092-1.2795223326338118E8i           8
50.35                                             2.262563588845309E7-6.350389587329369E-9i         2.974502840090136                                 -0.0030934550794881523-1.0204932743501618E-4i     0.09567764434677634-2.900128434599907i            3404241.7400028715-1.031874037617779E8i           3
50.35                                             -2.262563588845309E7-6.350389587329369E-9i        2.974502840090136                                 -0.0030934550794881523+1.0204932743501618E-4i     0.09567764434677634+2.900128434599907i            3404241.7400028715+1.031874037617779E8i           0
50.35                                             6.500343351920939E7+3.1796440991250104E-8i        3.010557985647872                                 -4.028168002608464E-7-5.036726724543357E-5i       -0.23342719196730527-3.522663205433467E-4i        0.02751308328956092+4.163962909967914E-5i         4
50.35                                             -6.500343351920939E7+3.1796440991250104E-8i       3.010557985647872                                 -4.028168002608464E-7+5.036726724543357E-5i       -0.23342719196730527+3.522663205433467E-4i        0.02751308328956092-4.163962909967914E-5i         4
50.35                                             1.1648884039714454E8-1.9944516856807817E-6i       2.8947402507032027                                -1.349342367950559E8-124303.81519161531i          0.004444291676838498-4.81332833630284i            0.01019103375830313-11.066572425058812i           6
50.35                                             -1.1648884039714454E8-1.9944516856807817E-6i      2.8947402507032027                                -1.349342367950559E8+124303.81519161531i          0.004444291676838498+4.81332833630284i            0.01019103375830313+11.066572425058812i           6
50.35                                             1.2748528799286348E8-7.265339835051585E-8i        2.9799364372016424                                -6.20798881815816-0.01300425553697398i            -264860.9126891506+1.2641037597618668E8i          0.006303007272154849-3.0107754166670087i          7
50.35                                             -1.2748528799286348E8-7.265339835051585E-8i       2.9799364372016424                                -6.20798881815816+0.01300425553697398i            -264860.9126891506-1.2641037597618668E8i          0.006303007272154849+3.0107754166670087i          7
50.35                                             1.364566078176709E8-1.0821022213477791E-6i        2.9740989384569927                                -17.682284200261673+0.007860785892222909i         -4.5882198047735755E-4-1.0076196201831251i        56832.93632443588+1.2802694160898608E8i           8
50.35                                             -1.364566078176709E8-1.0821022213477791E-6i       2.9740989384569927                                -17.682284200261673-0.007860785892222909i         -4.5882198047735755E-4+1.0076196201831251i        56832.93632443588-1.2802694160898608E8i           8
50.400000000000006                                2.278379075280647E7+2.7653019469930282E-9i        2.974558384987093                                 -0.004877791322012959-1.600752988960505E-4i       0.09523814960676984-2.902066773199587i            3384285.2519040466-1.0312490774201354E8i          3
50.400000000000006                                -2.278379075280647E7+2.7653019469930282E-9i       2.974558384987093                                 -0.004877791322012959+1.600752988960505E-4i       0.09523814960676984+2.902066773199587i            3384285.2519040466+1.0312490774201354E8i          0
50.400000000000006                                6.50718322153734E7+3.5428305225048927E-7i         3.010582562757868                                 -3.0306964149724126E-7+3.63010375675384E-5i       -0.23458341667089802-3.544193501970118E-4i        0.027684075026708808+4.217341675955227E-5i        4
50.400000000000006                                -6.50718322153734E7+3.5428305225048927E-7i        3.010582562757868                                 -3.0306964149724126E-7-3.63010375675384E-5i       -0.23458341667089802+3.544193501970118E-4i        0.027684075026708808-4.217341675955227E-5i        4
50.400000000000006                                1.1660447381366464E8+4.117390951065211E-6i        2.8947115005117108                                -1.3492476976688382E8-116264.36844260804i         0.004146690848019774-4.834511847216009i           0.009601980840742421-11.113202746842576i          6
50.400000000000006                                -1.1660447381366464E8+4.117390951065211E-6i       2.8947115005117108                                -1.3492476976688382E8+116264.36844260804i         0.004146690848019774+4.834511847216009i           0.009601980840742421+11.113202746842576i          6
50.400000000000006                                1.275864894951138E8-1.237069498087358E-7i         2.9799193323731616                                -6.226607919744426-0.013040040960054143i          -264865.18573249405+1.2647510703937925E8i         0.006319453602676217-3.0196067721446607i          7
50.400000000000006                                -1.275864894951138E8-1.237069498087358E-7i        2.9799193323731616                                -6.226607919744426+0.013040040960054143i          -264865.18573249405-1.2647510703937925E8i         0.006319453602676217+3.0196067721446607i          7
50.400000000000006                                1.3656952472268838E8-1.4510759106927557E-6i       2.974079392050274                                 -17.721055821631527+0.007852915753869927i         -4.4465997894663423E-4-1.0088509799141072i        56741.70411896876+1.2810164661419772E8i           8
50.400000000000006                                -1.3656952472268838E8-1.4510759106927557E-6i      2.974079392050274                                 -17.721055821631527-0.007852915753869927i         -4.4465997894663423E-4+1.0088509799141072i        56741.70411896876-1.2810164661419772E8i           8
50.45                                             2.294114471317698E7+1.9448960891782272E-8i        2.9746137876831336                                -0.0066940079551501335-2.1852696729663605E-4i     0.09480818207959817-2.9040068740159133i           3364719.8758122576-1.030624309890415E8i           3
50.45                                             -2.294114471317698E7+1.9448960891782272E-8i       2.9746137876831336                                -0.0066940079551501335+2.1852696729663605E-4i     0.09480818207959817+2.9040068740159133i           3364719.8758122576+1.030624309890415E8i           0
50.45                                             6.5140251310674354E7-1.58071444295088E-8i         3.0106071670695096                                -1.5130968225540564E-6+1.3128824557619075E-4i     -0.2357469369806429-3.577306171294115E-4i         0.027859352972481963+4.257570050938682E-5i        4
50.45                                             -6.5140251310674354E7-1.58071444295088E-8i        3.0106071670695096                                -1.5130968225540564E-6-1.3128824557619075E-4i     -0.2357469369806429+3.577306171294115E-4i         0.027859352972481963-4.257570050938682E-5i        4
50.45                                             1.1672010955146733E8+8.64482495581553E-7i         2.894682731017961                                 -1.3491528789691392E8-108218.1701217309i          0.003890869732613948-4.855761450601838i           0.00894887638749678-11.159976055172889i           6
50.45                                             -1.1672010955146733E8+8.64482495581553E-7i        2.894682731017961                                 -1.3491528789691392E8+108218.1701217309i          0.003890869732613948+4.855761450601838i           0.00894887638749678+11.159976055172889i           6
50.45                                             1.2768769172811367E8+1.5958620927344745E-6i       2.9799022158813027                                -6.245269256305038-0.013044033429844695i          -264869.22428461246+1.2653982037109584E8i         0.006315665110758158-3.0284561782221506i          7
50.45                                             -1.2768769172811367E8+1.5958620927344745E-6i      2.9799022158813027                                -6.245269256305038+0.013044033429844695i          -264869.22428461246-1.2653982037109584E8i         0.006315665110758158+3.0284561782221506i          7
50.45                                             1.36682442907105E8-1.6327061713823256E-6i         2.9740598431086065                                -17.759866443577305+0.007861296443605796i         -4.71641569080025E-4-1.0100780351506773i          56650.40287736985+1.2817634828934778E8i           8
50.45                                             -1.36682442907105E8-1.6327061713823256E-6i        2.9740598431086065                                -17.759866443577305-0.007861296443605796i         -4.71641569080025E-4+1.0100780351506773i          56650.40287736985-1.2817634828934778E8i           8
50.5                                              2.3097714505897846E7+8.844078686241449E-9i        2.9746690474883324                                -0.008542984661619046-2.7751734580530927E-4i      0.09438780786041638-2.905944520851623i            3345533.10918296-1.0299997230573341E8i            3
50.5                                              -2.3097714505897846E7+8.844078686241449E-9i       2.9746690474883324                                -0.008542984661619046+2.7751734580530927E-4i      0.09438780786041638+2.905944520851623i            3345533.10918296+1.0299997230573341E8i            0
50.5                                              6.520869090222136E7+2.3416038295549505E-7i        3.010631798419702                                 6.974318769643737E-8+2.3671644164273233E-4i       -0.23691927002398303-3.5980594322134894E-4i       0.028038396090672775+4.215668815593439E-5i        4
50.5                                              -6.520869090222136E7+2.3416038295549505E-7i       3.010631798419702                                 6.974318769643737E-8-2.3671644164273233E-4i       -0.23691927002398303+3.5980594322134894E-4i       0.028038396090672775-4.215668815593439E-5i        4
50.5                                              1.168357476182463E8-2.2615084079768107E-5i        2.8946539422741333                                -1.3490579116730443E8-100165.27237933947i         0.0037635509325286763-4.877089014256542i          0.008225213671693616-11.206895882483668i          6
50.5                                              -1.168357476182463E8-2.2615084079768107E-5i       2.8946539422741333                                -1.3490579116730443E8+100165.27237933947i         0.0037635509325286763+4.877089014256542i          0.008225213671693616+11.206895882483668i          6
50.5                                              1.2778889470479758E8-4.2662336338334705E-6i       2.979885087700732                                 -6.263937859567236-0.013191142429964626i          -264873.0288165915+1.2660451598344432E8i          0.006420365998090087-3.0372938581239057i          7
50.5                                              -1.2778889470479758E8-4.2662336338334705E-6i      2.979885087700732                                 -6.263937859567236+0.013191142429964626i          -264873.0288165915-1.2660451598344432E8i          0.006420365998090087+3.0372938581239057i          7
50.5                                              1.3679536237482768E8+6.862287707156223E-6i        2.9740402916232034                                -17.798767523880493+0.007797499098261327i         -3.831941982382396E-4-1.0113051121086132i         56559.03268806877+1.2825104664470944E8i           8
50.5                                              -1.3679536237482768E8+6.862287707156223E-6i       2.9740402916232034                                -17.798767523880493-0.007797499098261327i         -3.831941982382396E-4+1.0113051121086132i         56559.03268806877-1.2825104664470944E8i           8
50.550000000000004                                2.325351634031082E7-2.493747574410233E-8i         2.974724163689367                                 -0.010422167726258251-3.3681617518751465E-4i      0.09397656724876247-2.907889183443474i            3326712.993318395-1.0293753045810989E8i           3
50.550000000000004                                -2.325351634031082E7-2.493747574410233E-8i        2.974724163689367                                 -0.010422167726258251+3.3681617518751465E-4i      0.09397656724876247+2.907889183443474i            3326712.993318395+1.0293753045810989E8i           0
50.550000000000004                                6.5277151087735556E7-2.4254946111422643E-7i       3.0106564566428697                                1.8308331289077433E-7+3.0797227963618844E-4i      -0.23808423246350321-3.6251595017702717E-4i       0.0282053668138022+4.273916910912678E-5i          4
50.550000000000004                                -6.5277151087735556E7-2.4254946111422643E-7i      3.0106564566428697                                1.8308331289077433E-7-3.0797227963618844E-4i      -0.23808423246350321+3.6251595017702717E-4i       0.0282053668138022-4.273916910912678E-5i          4
50.550000000000004                                1.169513880216541E8+4.8427785677382675E-6i        2.894625134332477                                 -1.348962795602714E8-92105.70254545167i           0.0033262646721489374-4.898482759027278i          0.007699145908295371-11.25396018515063i           6
50.550000000000004                                -1.169513880216541E8+4.8427785677382675E-6i       2.894625134332477                                 -1.348962795602714E8+92105.70254545167i           0.0033262646721489374+4.898482759027278i          0.007699145908295371+11.25396018515063i           6
50.550000000000004                                1.2789009843803698E8+3.6801486188006774E-7i       2.979867947806113                                 -6.282761882132108-0.013125583014900187i          -264876.5993828904+1.2666919388840255E8i          0.006364427332034891-3.0462311452843953i          7
50.550000000000004                                -1.2789009843803698E8+3.6801486188006774E-7i      2.979867947806113                                 -6.282761882132108+0.013125583014900187i          -264876.5993828904-1.2666919388840255E8i          0.006364427332034891+3.0462311452843953i          7
50.550000000000004                                1.3690828312966368E8-3.07232178781338E-8i         2.9740207375853203                                -17.837689031802938+0.007849306513487085i         -4.4884177152307677E-4-1.0125106739307008i        56467.59408673703+1.2832574169042075E8i           8
50.550000000000004                                -1.3690828312966368E8-3.07232178781338E-8i        2.9740207375853203                                -17.837689031802938-0.007849306513487085i         -4.4884177152307677E-4+1.0125106739307008i        56467.59408673703-1.2832574169042075E8i           8
50.6                                              2.340856592182301E7-2.8251420496686688E-8i        2.9747791355490936                                -0.012334416512034088-3.9665984037226873E-4i      0.09357421298795746-2.9098342089104237i           3308248.0832702057-1.0287510417698874E8i          3
50.6                                              -2.340856592182301E7-2.8251420496686688E-8i       2.9747791355490936                                -0.012334416512034088+3.9665984037226873E-4i      0.09357421298795746+2.9098342089104237i           3308248.0832702057+1.0287510417698874E8i          0
50.6                                              6.534563196555952E7-1.8062374637768566E-7i        3.0106811415707844                                -6.691371492249488E-7+4.0882592031414697E-4i      -0.2392627719471456-3.6558121858026025E-4i        0.02838475024645983+4.340727137559037E-5i         4
50.6                                              -6.534563196555952E7-1.8062374637768566E-7i       3.0106811415707844                                -6.691371492249488E-7-4.0882592031414697E-4i      -0.2392627719471456+3.6558121858026025E-4i        0.02838475024645983-4.340727137559037E-5i         4
50.6                                              1.1706703076934144E8+4.1965809660747304E-7i       2.8945963072453886                                -1.3488675305803898E8-84039.51773563915i          0.003057187589479698-4.919951690246768i           0.007040514793211586-11.301161009940294i          6
50.6                                              -1.1706703076934144E8+4.1965809660747304E-7i      2.8945963072453886                                -1.3488675305803898E8+84039.51773563915i          0.003057187589479698+4.919951690246768i           0.007040514793211586+11.301161009940294i          6
50.6                                              1.2799130294066861E8-8.787756102308536E-8i        2.9798507961721654                                -6.301590532432686-0.01316335833352956i           -264879.93654734787+1.2673385409781638E8i         0.00637834261358053-3.055170493936668i            7
