% Model:              hexGeModeAnalysisv2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 16 2024, 16:32
% Table:              Table 85 - data_to_export
% omega (GHz)                                     Out-of-plane wave number (rad/m)                  N^2 (m^2)                                         wxy (1)                                           wxz (1)                                           wyz (1)                                           mode (m^2)
0.25                                              6063066.496186591+3.065342674473099E-5i           2.99977913302134                                  -0.005041233778920909-2.5905969465737208E-5i      -4377.254334452777+1.0441935083146257E7i          -0.06588601047407425+0.5539854330251551i          7
0.25                                              -6063066.496186591+3.065342674473099E-5i          2.99977913302134                                  -0.005041233778920909+2.5905969465737208E-5i      -4377.254334452777-1.0441935083146257E7i          -0.06588601047407425-0.5539854330251551i          7
0.25                                              6066427.844208-4.469371292908962E-6i              2.9997149006340966                                -0.023129008193833483+6.63004571772226E-5i        0.416872041842176+1.9793586921622823i             2529.3713975850637+1.043447822078324E7i           8
0.25                                              -6066427.844208-4.469371292908962E-6i             2.9997149006340966                                -0.023129008193833483-6.63004571772226E-5i        0.416872041842176-1.9793586921622823i             2529.3713975850637-1.043447822078324E7i           8
0.3000000000000001                                379984.0780773409-9.719165504879847E-8i           3.000000298004052                                 5.621386025567644E-4+5.885565148829197E-5i        -6.158189183705927E-8-6.47084901704681E-7i        -1.7160917097862012E-7-5.361949064169918E-7i      4
0.3000000000000001                                -379984.0780773409-9.719165504879847E-8i          3.000000298004052                                 5.621386025567644E-4-5.885565148829197E-5i        -6.158189183705927E-8+6.47084901704681E-7i        -1.7160917097862012E-7+5.361949064169918E-7i      4
0.3000000000000001                                697382.5195192954-1.206920280579467E-7i           2.9096550640006567                                -1.3927547881303948E8-45471.90648811278i          -1.470924600105929E-6+0.00429648757124536i        -3.9631868045448E-6+0.01389719120082619i          6
0.3000000000000001                                -697382.5195192954-1.206920280579467E-7i          2.9096550640006567                                -1.3927547881303948E8+45471.90648811278i          -1.470924600105929E-6-0.00429648757124536i        -3.9631868045448E-6-0.01389719120082619i          6
0.3000000000000001                                6645313.9010972865+8.709771634777211E-7i          2.9997354576210875                                -0.004766081844569707-3.0266753936256065E-5i      -5243.525814673203+1.1431757322631853E7i          -0.11297850197077655-0.5674560067273569i          7
0.3000000000000001                                -6645313.9010972865+8.709771634777211E-7i         2.9997354576210875                                -0.004766081844569707+3.0266753936256065E-5i      -5243.525814673203-1.1431757322631853E7i          -0.11297850197077655+0.5674560067273569i          7
0.3000000000000001                                6649732.701256058-1.48299288471256E-5i            2.9996585484925267                                -0.026120675872400478+3.258363873688914E-5i       -0.21141035660133953+0.7311092742614564i          3028.263023866783+1.1421988144693473E7i           8
0.3000000000000001                                -6649732.701256058-1.48299288471256E-5i           2.9996585484925267                                -0.026120675872400478-3.258363873688914E-5i       -0.21141035660133953-0.7311092742614564i          3028.263023866783-1.1421988144693473E7i           8
0.35000000000000003                               443314.82806920545+4.0318450258790584E-8i         3.000000405617889                                 -5.132972110524865E-4+8.213243731749316E-5i       -2.6392846718482254E-7-7.551827741132547E-9i      1.586923763427556E-7+4.269289397314628E-8i        4
0.35000000000000003                               -443314.82806920545+4.0318450258790584E-8i        3.000000405617889                                 -5.132972110524865E-4-8.213243731749316E-5i       -2.6392846718482254E-7+7.551827741132547E-9i      1.586923763427556E-7-4.269289397314628E-8i        4
0.35000000000000003                               813612.8117694359-1.6385317151552057E-7i          2.9096548784630256                                -1.392754206679704E8-53049.42166616139i           -2.172519545647573E-6+0.005062468117670164i       -5.888240473846202E-6+0.016215643016500088i       6
0.35000000000000003                               -813612.8117694359-1.6385317151552057E-7i         2.9096548784630256                                -1.392754206679704E8+53049.42166616139i           -2.172519545647573E-6-0.005062468117670164i       -5.888240473846202E-6-0.016215643016500088i       6
0.35000000000000003                               7181600.562275839-1.7053979389768718E-5i          2.9996919458747247                                -0.005737178165080829+4.943997337474406E-6i       -6106.905975476745+1.2340383309872754E7i          -0.03579744837318953+0.028654435259414968i        7
0.35000000000000003                               -7181600.562275839-1.7053979389768718E-5i         2.9996919458747247                                -0.005737178165080829-4.943997337474406E-6i       -6106.905975476745-1.2340383309872754E7i          -0.03579744837318953-0.028654435259414968i        7
0.35000000000000003                               7187169.132007073+4.165710120868889E-6i           2.999602415379129                                 -0.03155414265316729-1.7529702888553392E-5i       -0.016781839449646483+0.014859601734290736i       3523.800551645938+1.2328114292638661E7i           8
0.35000000000000003                               -7187169.132007073+4.165710120868889E-6i          2.999602415379129                                 -0.03155414265316729+1.7529702888553392E-5i       -0.016781839449646483-0.014859601734290736i       3523.800551645938-1.2328114292638661E7i           8
0.4                                               506645.6106000523-2.0326357386666166E-7i          3.0000005297885104                                -8.338777279583014E-5-1.4641628745492012E-5i      -4.9035183607182066E-8+1.6318790291950557E-7i     -9.181257747463936E-8-1.832856062381012E-7i       4
0.4                                               -506645.6106000523-2.0326357386666166E-7i         3.0000005297885104                                -8.338777279583014E-5+1.4641628745492012E-5i      -4.9035183607182066E-8-1.6318790291950557E-7i     -9.181257747463936E-8+1.832856062381012E-7i       4
0.4                                               929843.0451178335+2.629976836418475E-7i           2.9096546643861427                                -1.392753535781906E8-60626.409179855145i          -1.9814875212383614E-6+0.005519396500629381i      -8.203747223938829E-6+0.018462147204116926i       6
0.4                                               -929843.0451178335+2.629976836418475E-7i          2.9096546643861427                                -1.392753535781906E8+60626.409179855145i          -1.9814875212383614E-6-0.005519396500629381i      -8.203747223938829E-6-0.018462147204116926i       6
0.4                                               7681559.099261895+2.558990792813093E-5i           2.999648596770763                                 -0.0066200526221934786+3.276396915919279E-5i      -6967.260457521039+1.3184624086263847E7i          0.016691618525979092-0.2925079947747893i          7
0.4                                               -7681559.099261895+2.558990792813093E-5i          2.999648596770763                                 -0.0066200526221934786-3.276396915919279E-5i      -6967.260457521039-1.3184624086263847E7i          0.016691618525979092+0.2925079947747893i          7
0.4                                               7688362.884896351-5.042245734532674E-6i           2.9995464998033268                                -0.03543421567047764-2.1805507787394993E-5i       0.2531317425495248+0.3236216533820103i            4016.7442319111246+1.3169684761748794E7i          8
0.4                                               -7688362.884896351-5.042245734532674E-6i          2.9995464998033268                                -0.03543421567047764+2.1805507787394993E-5i       0.2531317425495248-0.3236216533820103i            4016.7442319111246-1.3169684761748794E7i          8
0.45000000000000007                               569976.4301643214+1.5663996765835346E-7i          3.000000670516286                                 1.485673042466829E-4-8.685870267922936E-6i        -3.7686736363930773E-7-6.13312955063655E-7i       -1.433199382134651E-7-1.7896747483297222E-7i      4
0.45000000000000007                               -569976.4301643214+1.5663996765835346E-7i         3.000000670516286                                 1.485673042466829E-4+8.685870267922936E-6i        -3.7686736363930773E-7+6.13312955063655E-7i       -1.433199382134651E-7+1.7896747483297222E-7i      4
0.45000000000000007                               1046073.2112122903-1.4433600716533647E-7i         2.90965442175782                                  -1.3927527754365122E8-68202.79788900269i          -3.3079928601150545E-6+0.006438295747736528i      -9.876240458316543E-6+0.020745633858058152i       6
0.45000000000000007                               -1046073.2112122903-1.4433600716533647E-7i        2.90965442175782                                  -1.3927527754365122E8+68202.79788900269i          -3.3079928601150545E-6-0.006438295747736528i      -9.876240458316543E-6-0.020745633858058152i       6
0.45000000000000007                               8151876.655692543+1.373863224348435E-5i           2.9996054093296833                                -0.008178619732469071-1.22673320387872E-5i        -7824.6167078426515+1.3976164664560178E7i         0.05851926872723834-0.3606055085502315i           7
0.45000000000000007                               -8151876.655692543+1.373863224348435E-5i          2.9996054093296833                                -0.008178619732469071+1.22673320387872E-5i        -7824.6167078426515-1.3976164664560178E7i         0.05851926872723834+0.3606055085502315i           7
0.45000000000000007                               8159995.579254321-3.6469006313360112E-6i          2.9994908002705234                                -0.04133787337913144+4.301270248597965E-5i        -0.0036607391138834215+0.12335549491712518i       4507.7090323911+1.3958398461282538E7i             8
0.45000000000000007                               -8159995.579254321-3.6469006313360112E-6i         2.9994908002705234                                -0.04133787337913144-4.301270248597965E-5i        -0.0036607391138834215-0.12335549491712518i       4507.7090323911-1.3958398461282538E7i             8
0.5                                               633307.2914846296-2.0457093607781416E-7i          3.0000008278016477                                -2.1669934941852148E-4+5.204785254512769E-6i      -4.4891730695160535E-7-5.595412790941226E-7i      2.7236540880363867E-7+1.5975004872279815E-7i      4
0.5                                               -633307.2914846296-2.0457093607781416E-7i         3.0000008278016477                                -2.1669934941852148E-4-5.204785254512769E-6i      -4.4891730695160535E-7+5.595412790941226E-7i      2.7236540880363867E-7-1.5975004872279815E-7i      4
0.5                                               1162303.301650773+3.1083445573544E-7i             2.909654150586185                                 -1.392751925648185E8-75778.51616715484i           -2.796185570484459E-6+0.00712849894775273i        -1.3828160338329016E-5+0.023061645031546774i      6
0.5                                               -1162303.301650773+3.1083445573544E-7i            2.909654150586185                                 -1.392751925648185E8+75778.51616715484i           -2.796185570484459E-6-0.00712849894775273i        -1.3828160338329016E-5-0.023061645031546774i      6
0.5                                               8597419.41363448-7.704950046641115E-6i            2.99956238257287                                  -0.009146874047662677-2.9682298293272974E-5i      -8678.89304403143+1.4723518734930534E7i           -0.00565635334336561-0.09402738467539276i         7
0.5                                               -8597419.41363448-7.704950046641115E-6i           2.99956238257287                                  -0.009146874047662677+2.9682298293272974E-5i      -8678.89304403143-1.4723518734930534E7i           -0.00565635334336561+0.09402738467539276i         7
0.5                                               8606928.826147161+2.090307613428229E-5i           2.9994353153150697                                -0.045499762291170955+4.358307774037049E-5i       0.01598004203393258-0.06177972192632165i          4995.906769575837+1.4702780710340632E7i           8
0.5                                               -8606928.826147161+2.090307613428229E-5i          2.9994353153150697                                -0.045499762291170955-4.358307774037049E-5i       0.01598004203393258+0.06177972192632165i          4995.906769575837-1.4702780710340632E7i           8
0.55                                              696638.1992112095+1.21290429169283E-7i            3.0000010016449803                                2.9867691178038164E-5-3.7750866757106825E-5i      -2.7828421292532723E-7-1.8567534383345302E-7i     2.632071445442586E-7+7.960937178049224E-8i        4
0.55                                              -696638.1992112095+1.21290429169283E-7i           3.0000010016449803                                2.9867691178038164E-5+3.7750866757106825E-5i      -2.7828421292532723E-7+1.8567534383345302E-7i     2.632071445442586E-7-7.960937178049224E-8i        4
0.55                                              1278533.3077963584+7.908827666590625E-7i          2.909653850871211                                 -1.3927509864200538E8-83353.47776929436i          -3.53096495305571E-6+0.0076094374291664135i       -1.751548892328803E-5+0.02535048297373703i        6
0.55                                              -1278533.3077963584+7.908827666590625E-7i         2.909653850871211                                 -1.3927509864200538E8+83353.47776929436i          -3.53096495305571E-6-0.0076094374291664135i       -1.751548892328803E-5-0.02535048297373703i        6
0.55                                              9021858.919359645+6.187434937166205E-6i           2.999519515523643                                 -0.010180325209971175-2.7668376069811983E-5i      -9530.221151532181+1.543311794765674E7i           -0.05841223700186672-0.05780138859275213i         7
0.55                                              -9021858.919359645+6.187434937166205E-6i          2.999519515523643                                 -0.010180325209971175+2.7668376069811983E-5i      -9530.221151532181-1.543311794765674E7i           -0.05841223700186672+0.05780138859275213i         7
0.55                                              9032830.310224174-9.634218829483173E-6i           2.9993800434817515                                -0.050124815059473665+3.36359170010375E-5i        0.04387611260288527+0.07477116664809792i          5481.618441624841+1.5409273100330502E7i           8
0.55                                              -9032830.310224174-9.634218829483173E-6i          2.9993800434817515                                -0.050124815059473665-3.36359170010375E-5i        0.04387611260288527-0.07477116664809792i          5481.618441624841-1.5409273100330502E7i           8
0.6000000000000001                                759969.1579279705+3.496050214064654E-9i           3.000001192046826                                 1.1436781102458328E-5-3.398845284294357E-5i       3.111522557359138E-7+1.2989854076611948E-7i       -1.461503318160619E-7+2.4393287760348926E-7i      4
0.6000000000000001                                -759969.1579279705+3.496050214064654E-9i          3.000001192046826                                 1.1436781102458328E-5+3.398845284294357E-5i       3.111522557359138E-7-1.2989854076611948E-7i       -1.461503318160619E-7-2.4393287760348926E-7i      4
0.6000000000000001                                1394763.2214832306-2.7038354382378668E-8i         2.9096535226049043                                -1.3927499577535233E8-90927.61892050625i          -1.0539837412372886E-5+0.0085501892471795i        -1.4924928711877326E-5+0.027746969182068957i      6
0.6000000000000001                                -1394763.2214832306-2.7038354382378668E-8i        2.9096535226049043                                -1.3927499577535233E8+90927.61892050625i          -1.0539837412372886E-5-0.0085501892471795i        -1.4924928711877326E-5-0.027746969182068957i      6
0.6000000000000001                                9428046.026295923+2.9593444374849095E-5i          2.9994768072173223                                -0.011008842090815237+1.959002783197082E-6i       -10378.731468127717+1.6109962594584284E7i         0.016706003162910796-0.19429777764437162i         7
0.6000000000000001                                -9428046.026295923+2.9593444374849095E-5i         2.9994768072173223                                -0.011008842090815237-1.959002783197082E-6i       -10378.731468127717-1.6109962594584284E7i         0.016706003162910796+0.19429777764437162i         7
0.6000000000000001                                9440547.564511508-3.978260479018665E-5i           2.999324983322844                                 -0.05474761338648545+7.29613691738033E-5i         -0.1472463930491223+0.14755430967780717i          5965.084121728308+1.6082884560194805E7i           8
0.6000000000000001                                -9440547.564511508-3.978260479018665E-5i          2.999324983322844                                 -0.05474761338648545-7.29613691738033E-5i         -0.1472463930491223-0.14755430967780717i          5965.084121728308-1.6082884560194805E7i           8
